time	V(vin)	V(vout)
1.015796965229493e-001	1.990039e-002	1.004899e-002
1.021501415564315e-001	2.345362e-002	1.359747e-002
1.027205865899136e-001	2.699713e-002	1.713499e-002
1.032910316233958e-001	3.053091e-002	2.066155e-002
1.043910316233958e-001	3.731586e-002	2.742889e-002
1.054910316233959e-001	4.389475e-002	3.398610e-002
1.065910316233959e-001	5.026759e-002	4.033319e-002
1.076910316233959e-001	5.643436e-002	4.647016e-002
1.087910316233959e-001	6.239508e-002	5.239701e-002
1.098910316233960e-001	6.814974e-002	5.811374e-002
1.109910316233960e-001	7.369834e-002	6.362035e-002
1.128053173376818e-001	8.223942e-002	7.208226e-002
1.146196030519675e-001	8.964598e-002	7.940428e-002
1.164338887662533e-001	9.591803e-002	8.558640e-002
1.182481744805391e-001	1.010555e-001	9.062862e-002
1.200624601948248e-001	1.050586e-001	9.453095e-002
1.218767459091106e-001	1.079270e-001	9.729338e-002
1.236910316233964e-001	1.096610e-001	9.891591e-002
1.256767459091105e-001	1.097678e-001	9.889929e-002
1.276624601948246e-001	1.084411e-001	9.745466e-002
1.296481744805387e-001	1.056809e-001	9.458200e-002
1.316338887662528e-001	1.014871e-001	9.028133e-002
1.336196030519669e-001	9.585973e-002	8.455264e-002
1.356053173376809e-001	8.879883e-002	7.739593e-002
1.375910316233950e-001	8.030438e-002	6.881120e-002
1.387481744805378e-001	7.487173e-002	6.333288e-002
1.399053173376805e-001	6.917567e-002	5.759561e-002
1.410624601948232e-001	6.321619e-002	5.159939e-002
1.422196030519660e-001	5.699332e-002	4.534421e-002
1.433767459091087e-001	5.050703e-002	3.883009e-002
1.445338887662514e-001	4.375734e-002	3.205701e-002
1.456910316233941e-001	3.674424e-002	2.502497e-002
1.463075355296441e-001	3.297765e-002	2.125051e-002
1.469240394358940e-001	2.919109e-002	1.745752e-002
1.475405433421440e-001	2.538456e-002	1.364600e-002
1.481570472483939e-001	2.155807e-002	9.815942e-003
1.487735511546438e-001	1.771161e-002	5.967356e-003
1.493900550608938e-001	1.384518e-002	2.100238e-003
1.500065589671437e-001	9.958789e-003	-1.785411e-003
1.506208446814294e-001	6.085889e-003	-5.656100e-003
1.512351303957150e-001	2.233077e-003	-9.505287e-003
1.518494161100007e-001	-1.599645e-003	-1.333297e-002
1.524637018242863e-001	-5.412279e-003	-1.713915e-002
1.530779875385719e-001	-9.204825e-003	-2.092383e-002
1.536922732528576e-001	-1.297728e-002	-2.468701e-002
1.543065589671432e-001	-1.672965e-002	-2.842869e-002
1.553637018242860e-001	-2.313145e-002	-3.480859e-002
1.564208446814287e-001	-2.932164e-002	-4.097325e-002
1.574779875385715e-001	-3.530023e-002	-4.692265e-002
1.585351303957142e-001	-4.106720e-002	-5.265680e-002
1.595922732528569e-001	-4.662256e-002	-5.817570e-002
1.606494161099997e-001	-5.196631e-002	-6.347934e-002
1.617065589671424e-001	-5.709846e-002	-6.856774e-002
1.634922732528565e-001	-6.514369e-002	-7.652985e-002
1.652779875385706e-001	-7.206796e-002	-8.336620e-002
1.670637018242847e-001	-7.787127e-002	-8.907679e-002
1.688494161099988e-001	-8.255360e-002	-9.366163e-002
1.706351303957129e-001	-8.611496e-002	-9.712070e-002
1.724208446814270e-001	-8.855535e-002	-9.945402e-002
1.742065589671411e-001	-8.987477e-002	-1.006616e-001
1.761065589671408e-001	-8.962754e-002	-1.002946e-001
1.780065589671406e-001	-8.807253e-002	-9.862516e-002
1.799065589671404e-001	-8.520974e-002	-9.565315e-002
1.818065589671402e-001	-8.103918e-002	-9.137860e-002
1.837065589671400e-001	-7.556084e-002	-8.580152e-002
1.856065589671398e-001	-6.877473e-002	-7.892190e-002
1.875065589671396e-001	-6.068084e-002	-7.073975e-002
1.886065589671395e-001	-5.555781e-002	-6.557183e-002
1.897065589671393e-001	-5.018930e-002	-6.016242e-002
1.908065589671392e-001	-4.457531e-002	-5.451151e-002
1.919065589671391e-001	-3.871584e-002	-4.861910e-002
1.930065589671390e-001	-3.261088e-002	-4.248520e-002
1.941065589671389e-001	-2.626044e-002	-3.610981e-002
1.952065589671387e-001	-1.966451e-002	-2.949293e-002
1.956922732528530e-001	-1.672977e-002	-2.655049e-002
1.961779875385672e-001	-1.377706e-002	-2.359097e-002
1.966637018242814e-001	-1.080639e-002	-2.061436e-002
1.971494161099957e-001	-7.817738e-003	-1.762067e-002
1.976351303957099e-001	-4.811122e-003	-1.460990e-002
1.981208446814241e-001	-1.786536e-003	-1.158203e-002
1.986065589671384e-001	1.256019e-003	-8.537090e-003
1.987065589671384e-001	1.882093e-003	-7.910637e-003
1.993317542796383e-001	5.814503e-003	-3.976727e-003
1.999569495921382e-001	9.739319e-003	-5.189090e-005
2.005821449046382e-001	1.365654e-002	3.863871e-003
2.012073402171381e-001	1.756617e-002	7.770558e-003
2.018325355296380e-001	2.146821e-002	1.166817e-002
2.024577308421380e-001	2.536265e-002	1.555671e-002
2.030829261546379e-001	2.924950e-002	1.943618e-002
2.041686404403520e-001	3.596639e-002	2.613653e-002
2.052543547260662e-001	4.248931e-002	3.263891e-002
2.063400690117804e-001	4.881825e-002	3.894332e-002
2.074257832974946e-001	5.495320e-002	4.504976e-002
2.085114975832087e-001	6.089418e-002	5.095822e-002
2.095972118689229e-001	6.664117e-002	5.666872e-002
2.106829261546371e-001	7.219419e-002	6.218124e-002
2.124543547260654e-001	8.068820e-002	7.059967e-002
2.142257832974938e-001	8.811660e-002	7.794706e-002
2.159972118689222e-001	9.447939e-002	8.422341e-002
2.177686404403506e-001	9.977657e-002	8.942872e-002
2.195400690117789e-001	1.040081e-001	9.356298e-002
2.213114975832073e-001	1.071741e-001	9.662621e-002
2.230829261546357e-001	1.092744e-001	9.861839e-002
2.251114975832069e-001	1.098613e-001	9.907881e-002
2.271400690117781e-001	1.089379e-001	9.803439e-002
2.291686404403493e-001	1.065043e-001	9.548511e-002
2.311972118689205e-001	1.025605e-001	9.143097e-002
2.332257832974917e-001	9.710644e-002	8.587199e-002
2.352543547260629e-001	9.014222e-002	7.880815e-002
2.372829261546341e-001	8.166780e-002	7.023946e-002
2.384543547260626e-001	7.626209e-002	6.478646e-002
2.396257832974910e-001	7.057895e-002	5.906055e-002
2.407972118689195e-001	6.461838e-002	5.306174e-002
2.419686404403479e-001	5.838039e-002	4.679002e-002
2.431400690117763e-001	5.186497e-002	4.024540e-002
2.443114975832048e-001	4.507212e-002	3.342789e-002
